# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
仄,1245,0.000002563869796090307,0.998341682837889
甥,1244,0.000002561810462920757,0.9983442446483519
迂,1243,0.0000025597511297512065,0.9983468043994816
烨,1242,0.000002557691796581656,0.9983493620912782
娥,1240,0.0000025535731302425552,0.9983519156644085
俑,1238,0.0000025494544639034542,0.9983544651188724
薏,1238,0.0000025494544639034542,0.9983570145733363
裴,1237,0.0000025473951307339035,0.998359561968467
遢,1236,0.0000025453357975643532,0.9983621073042646
炽,1235,0.000002543276464394803,0.998364650580729
恪,1235,0.000002543276464394803,0.9983671938571934
漩,1232,0.0000025370984648861516,0.9983697309556583
蜷,1232,0.0000025370984648861516,0.9983722680541232
荼,1232,0.0000025370984648861516,0.998374805152588
箫,1228,0.0000025288611322079496,0.9983773340137202
洼,1228,0.0000025288611322079496,0.9983798628748524
蒿,1228,0.0000025288611322079496,0.9983823917359845
娠,1226,0.0000025247424658688486,0.9983849164784504
撬,1226,0.0000025247424658688486,0.9983874412209163
桨,1226,0.0000025247424658688486,0.9983899659633821
溥,1225,0.0000025226831326992983,0.9983924886465149
黍,1223,0.0000025185644663601973,0.9983950072109812
扪,1223,0.0000025185644663601973,0.9983975257754475
捶,1223,0.0000025185644663601973,0.9984000443399138
戎,1219,0.0000025103271336819958,0.9984025546670475
喔,1218,0.000002508267800512445,0.998405062934848
奄,1217,0.0000025062084673428948,0.9984075691433153
姊,1214,0.0000025000304678342435,0.9984100691737832
伎,1213,0.000002497971134664693,0.9984125671449179
祎,1212,0.0000024959118014951425,0.9984150630567193
恺,1210,0.0000024917931351560415,0.9984175548498545
茧,1210,0.0000024917931351560415,0.9984200466429897
梢,1209,0.000002489733801986491,0.9984225363767917
褂,1207,0.00000248561513564739,0.9984250219919273
瑾,1206,0.00000248355580247784,0.9984275055477297
迢,1204,0.000002479437136138739,0.9984299849848659
寐,1202,0.000002475318469799638,0.9984324603033357
蔷,1197,0.000002465021803951886,0.9984349253251396
垣,1196,0.0000024629624707823353,0.9984373882876103
袒,1190,0.0000024506064717650327,0.998439838894082
庵,1189,0.0000024485471385954824,0.9984422874412207
瀚,1188,0.0000024464878054259317,0.9984447339290261
讥,1188,0.0000024464878054259317,0.9984471804168316
诏,1187,0.0000024444284722563814,0.9984496248453039
暨,1186,0.0000024423691390868307,0.9984520672144429
妩,1182,0.000002434131806408629,0.9984545013462494
沼,1182,0.000002434131806408629,0.9984569354780558
槿,1177,0.000002423835140560877,0.9984593593131964
墟,1176,0.0000024217758073913265,0.9984617810890037
枸,1173,0.0000024155978078826752,0.9984641966868116
冢,1172,0.0000024135384747131245,0.9984666102252864
髅,1169,0.0000024073604752044732,0.9984690175857616
缈,1162,0.00000239294514301762,0.9984714105309046
诣,1161,0.0000023908858098480696,0.9984738014167145
脯,1160,0.0000023888264766785194,0.9984761902431911
沓,1158,0.0000023847078103394184,0.9984785749510015
惆,1153,0.000002374411144491666,0.9984809493621459
钵,1148,0.0000023641144786439138,0.9984833134766246
钧,1148,0.0000023641144786439138,0.9984856775911032
